Symbol,Quant Rating,SA Analyst Ratings,Wall Street Ratings,Valuation Grade,Growth Grade,Profitability Grade,Momentum Grade,EPS Revision Grade,Upcoming Announce Date,EPS Estimate,Revenue Estimate,Last Quarter Announce Date,EPS Actual,EPS Surprise,Revenue Actual,Revenue Surprise,Yield TTM,Payout Ratio,Div Consistency,Div Yield,Div Growth,Div Safety,Altman Z Score,Market Cap,P/E FWD,Price / Sales,EV / EBITDA,Price / Book,Net Income 3Y,Revenue 3Y,EPS Growth (FWD),EPS YoY,Revenue FWD,Revenue YoY,FCF Margin,EBITDA Margin,Profit Margin,Return on Assets,Return on Equity
BKNG,3.16,3.88,4.47,D,B-,A+,D,B+,7/30/2026,2.45482,7184532580,4/28/2026,1.14,0.06118,5532000000,14980630,0.93%,16.97%,F,D-,A+,B+,7.03,1.31443E+11,16.25,4.92,12.94,NM,15.21%,15.07%,20.62%,17.90%,10.63%,14.95%,25.55%,37.48%,86.99%,22.20%,NM
BKR,3.14,4.00,4.27,F,C+,B+,B-,F,7/21/2026,0.47304,6529830360,4/23/2026,0.58,0.08636,6587000000,258960320,1.33%,34.46%,A-,D,C+,B,1.95,68571787000,30.07,2.45,14.31,3.55,NM,8.17%,6.00%,6.85%,1.36%,0.20%,11.30%,17.28%,23.64%,6.12%,17.18%
BLD,2.09,3.00,4.00,D-,D-,B+,B,D-,5/5/2026,3.64475,1410159140,2/26/2026,4.5,-0.04,1485247000,-5003910,-,-,-,-,-,-,3.57,12301243000,24.12,2.30,15.02,5.29,-2.10%,2.60%,-0.13%,-9.91%,5.75%,1.49%,7.11%,18.79%,29.45%,7.90%,23.06%
BLDR,1.56,3.33,3.80,B,F,C+,D-,D+,7/30/2026,1.45423,3998382030,4/30/2026,0.27,-0.103,3287077000,113465160,-,-,-,-,-,-,2.98,8144433700,18.12,0.56,10.99,2.03,-50.77%,-10.87%,-17.58%,-66.38%,-1.48%,-8.33%,4.33%,8.19%,29.89%,2.58%,6.96%
BLK,2.88,3.33,4.41,F,B+,A-,D+,D,-,12.54677,6628093740,4/14/2026,12.53,1.03432,6698000000,254720140,2.01%,43.34%,A-,D-,B+,A+,1.61,1.73032E+11,19.99,6.42,16.73,2.95,8.49%,13.75%,11.63%,-3.22%,14.76%,22.35%,29.05%,39.95%,46.89%,3.68%,10.72%
BMI,1.24,4.00,3.76,C-,C-,B+,D,F,7/17/2026,1.03012,219784810,4/17/2026,0.93,-0.29364,202277000,-28606420,1.26%,34.76%,A,C,A-,C+,14.85,3560055800,26.89,3.99,16.68,5.16,22.20%,14.83%,5.43%,-2.62%,5.84%,5.19%,15.72%,22.43%,41.37%,13.45%,19.60%
BMO,4.67,3.00,3.28,D,B,B+,A,A,5/27/2026,2.44764537,6778659355,2/24/2026,2.543915437,0.203521287,7181444038,273740299.7,3.15%,52.49%,A-,C+,C,B,-,1.07567E+11,14.84,4.45,-,1.74,-5.49%,3.24%,19.13%,13.10%,8.05%,10.70%,-,-,-,0.62%,10.47%
BMRN,3.52,4.00,4.37,B+,A-,A-,C+,C-,5/4/2026,0.91412,751677250,2/23/2026,0.46,-0.10056,874565000,39534370,-,-,-,-,-,-,5.76,10448178000,10.54,3.22,13.18,1.71,35.08%,15.40%,37.36%,-18.24%,16.15%,12.87%,12.50%,22.44%,52.81%,4.59%,5.94%
BMY,4.80,4.00,3.48,B,C+,A+,B+,A-,7/30/2026,1.62239,11794152160,4/30/2026,1.58,0.15842,11489000000,571695740,4.29%,41.99%,A,A,A,B,2.47,1.1887E+11,9.22,2.45,8.21,5.92,-0.16%,1.88%,74.67%,33.64%,-1.50%,1.78%,20.08%,38.29%,71.99%,8.41%,38.73%
BNS,4.70,3.00,3.07,C+,C+,A,A-,B,5/27/2026,1.41012806,7067927311,2/24/2026,1.496000934,0.071088738,7039231712,-56132902.29,4.08%,60.02%,C+,B+,C,C+,-,96078815000,13.05,3.97,-,1.50,-0.21%,4.31%,13.32%,38.96%,7.77%,15.22%,-,-,-,0.60%,10.33%
BOOT,2.88,3.00,4.75,D,B+,C+,B-,B,5/13/2026,1.4313,533313360,2/4/2026,2.57,-0.2007,705643000,801880,-,-,-,-,-,-,4.82,5216191500,23.37,2.42,15.66,4.07,9.05%,10.32%,21.10%,27.46%,15.39%,17.50%,0.29%,16.84%,38.32%,9.13%,18.45%
